科目,模块,章,节,知识点,考纲要求,常见考法,备注
408,操作系统,内存管理,分页,两级/多级页表：目的（页表离散存放）与地址划分,掌握,多级页表访存次数；各级页表大小计算,极高频大题
408,操作系统,内存管理,分段,基本分段：段表、地址转换、越界检查；分页与分段的对比,掌握,分段便于共享保护/分页无外碎片,高频
408,操作系统,内存管理,分段,段页式管理：地址结构与访存次数,掌握,三次访存,
408,操作系统,内存管理,虚拟内存,虚拟内存概念与特征（多次性、对换性、虚拟性）；局部性原理,掌握,,
408,操作系统,内存管理,虚拟内存,请求分页：页表项扩充（存在位/访问位/修改位）；缺页中断处理流程,掌握,缺页中断属于内中断；处理流程排序,极高频
408,操作系统,内存管理,虚拟内存,页面置换算法：OPT、FIFO（Belady异常）、LRU、CLOCK、改进CLOCK,掌握,给访问串计算各算法缺页次数,极高频大题
408,操作系统,内存管理,虚拟内存,页框分配策略（固定/可变+局部/全局）；驻留集,理解,,
408,操作系统,内存管理,虚拟内存,抖动与工作集；缺页率与页面大小/分配页框数的关系,掌握,,高频选择
408,操作系统,内存管理,虚拟内存,内存映射文件 mmap,了解,,2022新增
408,操作系统,文件管理,文件基础,文件的概念、属性与基本操作（打开/关闭/读/写）；打开文件表,掌握,open系统调用做了什么,高频
408,操作系统,文件管理,文件基础,文件逻辑结构：无结构（流式）、顺序、索引、索引顺序文件,掌握,各结构检索效率,
408,操作系统,文件管理,目录,目录结构：单级、两级、树形、无环图目录；文件控制块FCB与索引结点inode,掌握,inode与FCB的分解关系；目录项内容,高频
408,操作系统,文件管理,目录,目录的操作与实现（线性表/哈希表）；文件共享：硬链接与软链接,掌握,硬链接计数/软链接失效行为,极高频
408,操作系统,文件管理,物理结构,连续分配：优缺点（顺序快/难扩展/外碎片）,掌握,,
408,操作系统,文件管理,物理结构,链接分配：隐式链接与显式链接（FAT）,掌握,FAT表的查找过程与内存驻留,高频
408,操作系统,文件管理,物理结构,索引分配：单级/多级/混合索引；最大文件长度计算,掌握,给定块大小与索引结构算最大文件与访问次数,极高频大题
408,操作系统,文件管理,存储管理,空闲空间管理：空闲表、空闲链表、位示图、成组链接,掌握,位示图字号位号↔块号换算,极高频计算
408,操作系统,文件管理,存储管理,文件系统全局结构：引导块、超级块、inode区、数据区；VFS,了解,,2022新增
408,操作系统,文件管理,存储管理,文件系统挂载；磁盘格式化与分区,了解,,2022新增
408,操作系统,输入输出管理,I/O基础,I/O设备分类；I/O控制方式：轮询、中断、DMA、通道,掌握,各方式CPU干预程度与适用设备,极高频
408,操作系统,输入输出管理,I/O基础,I/O软件层次：用户层、设备独立性软件、设备驱动、中断处理程序,掌握,各功能属于哪一层（如缓冲/假脱机/驱动）,极高频选择
408,操作系统,输入输出管理,I/O核心子系统,设备独立性与逻辑设备名映射（LUT）,理解,,
408,操作系统,输入输出管理,I/O核心子系统,缓冲技术：单缓冲、双缓冲、循环缓冲、缓冲池；处理时间计算,掌握,单缓冲max(C，T)+M、双缓冲max(C+M，T),极高频计算
408,操作系统,输入输出管理,I/O核心子系统,SPOOLing假脱机技术（输入井/输出井、虚拟设备）,掌握,共享打印机原理,高频
408,操作系统,输入输出管理,I/O核心子系统,设备分配与回收（DCT/COCT/CHCT/SDT）,了解,,
408,操作系统,输入输出管理,磁盘,磁盘结构：盘面/磁道/扇区/柱面；磁盘地址（柱面号，盘面号，扇区号）,掌握,按柱面存放的原因,
408,操作系统,输入输出管理,磁盘,磁盘存取时间：寻道+旋转延迟+传输时间,掌握,平均旋转延迟=半圈时间,极高频计算
408,操作系统,输入输出管理,磁盘,磁盘调度算法：FCFS、SSTF（饥饿）、SCAN/C-SCAN、LOOK/C-LOOK,掌握,给请求序列计算寻道总量,极高频大题
408,操作系统,输入输出管理,磁盘,减少延迟时间的方法（交替编号、错位命名）；磁盘管理（格式化/引导块/坏块）,了解,,
408,操作系统,输入输出管理,固态硬盘,SSD结构（闪存翻译层FTL）、读写特性（按页读写/按块擦除）、磨损均衡,了解,SSD与机械磁盘随机访问性能对比,2022新增高频
408,计算机网络,体系结构,概述,计算机网络的组成（边缘/核心）、功能与分类（LAN/WAN/MAN、拓扑）,了解,,
408,计算机网络,体系结构,性能指标,速率、带宽、吞吐量、信道利用率,掌握,,
408,计算机网络,体系结构,性能指标,时延四分量（发送/传播/处理/排队）与时延带宽积（RTT）,掌握,分组交换端到端时延计算（含中间结点）,极高频计算
408,计算机网络,体系结构,分层模型,分层的意义；协议（语法/语义/同步）、接口、服务（面向连接/无连接）,掌握,协议与服务的关系,
408,计算机网络,体系结构,分层模型,OSI七层与TCP/IP四层模型；五层教学模型各层功能,掌握,给出功能/协议判断所属层次,极高频选择
408,计算机网络,体系结构,分层模型,各层数据单位（比特/帧/分组/报文段）与封装过程,掌握,,
408,计算机网络,物理层,通信基础,信源/信道/信宿；模拟与数字信号；单工/半双工/全双工,了解,,
408,计算机网络,物理层,通信基础,码元、波特率与比特率的关系,掌握,R=B·log2(M),极高频计算
408,计算机网络,物理层,通信基础,奈奎斯特定理（理想低通：2W·log2(M)）,掌握,给带宽和电平数求最大速率,极高频计算
408,计算机网络,物理层,通信基础,香农定理（C=W·log2(1+S/N)）；信噪比dB换算,掌握,两定理结合取较小值,极高频计算
408,计算机网络,物理层,编码调制,数字数据编码：NRZ、NRZI、曼彻斯特、差分曼彻斯特、4B/5B,掌握,画出比特串的曼彻斯特波形,高频
408,计算机网络,物理层,编码调制,调制技术：ASK/FSK/PSK/QAM,了解,QAM星座点数与速率,
408,计算机网络,物理层,交换技术,电路交换、报文交换、分组交换的比较,掌握,三种交换的总时延计算与比较,高频
408,计算机网络,物理层,交换技术,数据报与虚电路方式,掌握,两种方式特性对比,高频选择
408,计算机网络,物理层,传输介质,双绞线/同轴电缆/光纤（单模多模）/无线介质,了解,,
408,计算机网络,物理层,设备,中继器与集线器（物理层）；冲突域与广播域,掌握,各层设备对冲突域/广播域的分割,极高频选择
408,计算机网络,数据链路层,功能与组帧,链路层功能；封装成帧：字符计数、字节填充、零比特填充、违规编码,掌握,零比特填充后的比特串,高频
408,计算机网络,数据链路层,差错控制,奇偶校验；循环冗余校验CRC：生成多项式、余数计算,掌握,求CRC校验码/判断传输出错,极高频计算
408,计算机网络,数据链路层,差错控制,海明码：校验位数量（2^r≥k+r+1）、编码与纠错,掌握,求海明码/定位出错位,高频计算
408,计算机网络,数据链路层,可靠传输,停止-等待协议及信道利用率,掌握,利用率=Td/(Td+2Tp+Ta),极高频计算
408,计算机网络,数据链路层,可靠传输,后退N帧GBN：发送窗口≤2^n-1、累积确认、超时重发,掌握,出错时需重传的帧,极高频
408,计算机网络,数据链路层,可靠传输,选择重传SR：发送窗口≤2^(n-1)、单帧确认与缓存,掌握,窗口大小上限的推导,极高频
408,计算机网络,数据链路层,可靠传输,滑动窗口机制统一视角；信道利用率/最小窗口计算,掌握,达到最大利用率所需窗口/序号位数,极高频大题
408,计算机网络,数据链路层,介质访问控制,信道划分：FDM、TDM/STDM、WDM、CDMA,掌握,CDMA码片正交运算求数据,高频计算
408,计算机网络,数据链路层,介质访问控制,ALOHA（纯/时隙）；CSMA的三种坚持策略,掌握,1-坚持/非坚持/p-坚持的行为区别,高频选择
408,计算机网络,数据链路层,介质访问控制,CSMA/CD：冲突检测、争用期2τ、最小帧长=2τ×速率、二进制指数退避,掌握,最小帧长/最远距离计算,极高频计算
408,计算机网络,数据链路层,介质访问控制,CSMA/CA：帧间间隔、随机退避、RTS/CTS（隐蔽站）,掌握,CD与CA的比较；为何无线不能CD,高频
408,计算机网络,数据链路层,局域网,以太网 MAC 帧格式（目的/源地址、类型、数据46-1500、FCS）；MAC地址,掌握,数据字段最小46B的由来,极高频
408,计算机网络,数据链路层,局域网,IEEE 802.11无线局域网：MAC帧（四地址）、CSMA/CA、AP与BSS,掌握,四个地址字段的含义,2022加强
408,计算机网络,数据链路层,局域网,VLAN：概念、划分方式、802.1Q帧格式,掌握,VLAN分割广播域；Trunk口,高频
408,计算机网络,数据链路层,广域网与设备,PPP协议特点与帧格式,了解,PPP面向字节、不可靠,
408,计算机网络,数据链路层,广域网与设备,网桥与以太网交换机：自学习算法、转发表、生成树,掌握,给帧序列写转发表内容与转发决策,极高频大题
408,计算机网络,数据链路层,广域网与设备,交换机的直通式与存储转发式,了解,,
408,计算机网络,网络层,功能概述,路由与转发；异构网络互联；拥塞控制概念,理解,,
408,计算机网络,网络层,功能概述,SDN基本概念：数据平面与控制平面分离、OpenFlow,了解,SDN控制器功能,2022新增
408,计算机网络,网络层,IPv4,IPv4分组格式：版本、首部长度、总长度、标识、标志、片偏移、TTL、协议、校验和,掌握,首部字段含义与最小首部20B,极高频
408,计算机网络,网络层,IPv4,IP分片：MTU、片偏移以8B为单位的计算,掌握,分片数量/各片偏移与长度计算,极高频计算
408,计算机网络,网络层,IPv4,IPv4地址分类（A/B/C/D/E）与特殊地址（回环、广播、0地址、私有地址）,掌握,判断地址类别与可用性,极高频
408,计算机网络,网络层,IPv4,子网划分：子网掩码、子网数与主机数计算（全0全1子网/主机号）,掌握,给需求设计子网掩码,极高频大题
408,计算机网络,网络层,IPv4,CIDR无分类编址与路由聚合（构成超网）,掌握,聚合多个网段的最短前缀,极高频计算
408,计算机网络,网络层,IPv4,最长前缀匹配转发,掌握,给路由表和目的地址选下一跳,极高频
408,计算机网络,网络层,IPv4,NAT与NAPT的原理与转换表,掌握,NAT表的端口映射,高频
408,计算机网络,网络层,配套协议,ARP：工作原理、ARP表、跨网段解析过程,掌握,主机到主机通信过程中各链路的MAC/IP变化,极高频
408,计算机网络,网络层,配套协议,DHCP：工作过程（Discover/Offer/Request/ACK）、UDP承载,掌握,DHCP四步交互与广播,高频
408,计算机网络,网络层,配套协议,ICMP：差错报告报文（不可达/超时/重定向等）与询问报文；ping与traceroute,掌握,traceroute利用TTL超时,高频
408,计算机网络,网络层,IPv6,IPv6特点、地址表示（冒号十六进制）、与IPv4区别（无校验和/固定40B首部/不分片）,了解,IPv6地址缩写规则,选择题
408,计算机网络,网络层,路由,静态与动态路由；距离-向量与链路状态算法的比较,掌握,DV的坏消息传得慢,高频
408,计算机网络,网络层,路由,RIP：跳数（16不可达）、每30s交换、仅与邻居交换全表、UDP承载,掌握,距离向量表更新计算,极高频计算
408,计算机网络,网络层,路由,OSPF：链路状态、洪泛、Dijkstra、分区（骨干区域）、直接用IP,掌握,OSPF与RIP特性对比,极高频
408,计算机网络,网络层,路由,BGP：路径向量、AS间路由、TCP承载（179端口）,掌握,三种路由协议承载协议对比（UDP/IP/TCP）,极高频选择
408,计算机网络,网络层,组播与移动,IP组播与IGMP；D类地址,了解,,
408,计算机网络,网络层,组播与移动,移动IP：本地代理、外地代理、转交地址,了解,,
408,计算机网络,网络层,路由器,路由器组成（输入端口/交换结构/输出端口）与转发流程,掌握,路由器逐跳处理：查表、TTL减1、重算校验和,高频
408,计算机网络,传输层,概述,传输层功能：端到端通信、复用分用；端口号（熟知/登记/临时）,掌握,常用协议默认端口（FTP21/SSH22/SMTP25/DNS53/HTTP80/POP110/HTTPS443）,极高频
408,计算机网络,传输层,概述,套接字 Socket=(IP，端口),掌握,,
408,计算机网络,传输层,UDP,UDP特点（无连接/不可靠/面向报文/首部8B）与首部格式,掌握,UDP适用场景,高频
408,计算机网络,传输层,UDP,UDP校验和（伪首部）,了解,,
408,计算机网络,传输层,TCP连接管理,TCP特点与报文段格式（序号/确认号/窗口/标志位SYN、ACK、FIN、RST）,掌握,首部字段含义与20B最小首部,极高频
408,计算机网络,传输层,TCP连接管理,三次握手过程与序号/确认号变化；为何不能两次,掌握,握手各报文的SYN/ACK/seq/ack值,极高频
408,计算机网络,传输层,TCP连接管理,四次挥手过程；TIME_WAIT状态与2MSL,掌握,各状态转换,极高频
408,计算机网络,传输层,TCP可靠传输,序号与累积确认；超时重传（RTT估计：加权平均、RTO）,掌握,确认号=期望收到的下一个字节,极高频
408,计算机网络,传输层,TCP可靠传输,快速重传（3个冗余ACK）与选择确认SACK,掌握,,
408,计算机网络,传输层,TCP流量控制,滑动窗口流量控制；接收窗口rwnd与零窗口探测,掌握,发送窗口=min(rwnd，cwnd),极高频计算
408,计算机网络,传输层,TCP拥塞控制,慢开始与拥塞避免：cwnd指数/线性增长、ssthresh减半,掌握,给定轮次画cwnd变化曲线/求某轮cwnd值,极高频大题
408,计算机网络,传输层,TCP拥塞控制,快重传与快恢复；超时与3-ACK处理的区别,掌握,超时→cwnd=1；3ACK→cwnd=ssthresh/2,极高频
408,计算机网络,应用层,模型,C/S模型与P2P模型的特点,掌握,,
408,计算机网络,应用层,DNS,域名层次结构（根/顶级/权限域名服务器、本地域名服务器）,掌握,,
408,计算机网络,应用层,DNS,域名解析：递归查询与迭代查询、DNS缓存、UDP 53,掌握,一次解析过程发出的查询次数,极高频
408,计算机网络,应用层,FTP,FTP工作原理：控制连接21（持久）与数据连接20（临时）、主动/被动模式,掌握,两条连接的端口与建立方向,高频
408,计算机网络,应用层,电子邮件,邮件系统组成：用户代理、邮件服务器；SMTP（推、25）与POP3（拉、110）/IMAP,掌握,发送与接收全过程使用的协议,极高频
408,计算机网络,应用层,电子邮件,邮件格式与MIME（多媒体扩展）,了解,,
408,计算机网络,应用层,WWW,URL构成；HTTP特点：无状态、Cookie；1.0非持久与1.1持久连接（流水线/非流水线）,掌握,请求n个对象所需RTT数计算,极高频计算
408,计算机网络,应用层,WWW,HTTP报文格式（请求行/首部/实体；GET与POST）,掌握,,高频
408,数据结构,绪论,算法分析,递归算法的时间复杂度（递推式求解）,掌握,T(n)=2T(n/2)+n 型主定理结论,高频
408,数据结构,树与二叉树,二叉树,二叉树的带权路径长度WPL；结点的深度与高度,掌握,,与哈夫曼树衔接
408,数据结构,图,图基础,图的连通性：割点/桥的直观概念；生成森林,了解,,
408,数据结构,排序,比较与选用,计数排序（2023新增了解）,了解,计数排序的过程与复杂度O(n+k),近年新增
408,计算机组成原理,存储系统,外存,磁盘存储器：结构、记录方式、性能指标（道密度/位密度/存取时间）,掌握,磁盘容量与数据传输率计算,高频计算
408,计算机组成原理,存储系统,外存,磁盘阵列RAID（RAID0-5的特点）,了解,RAID级别与冗余/条带化对应,选择题
408,计算机组成原理,总线,总线概述,总线仲裁（集中式：链式查询/计数器定时/独立请求）,了解,,新大纲弱化仍偶考
408,计算机组成原理,输入输出系统,外设,常见外部设备：键盘/显示器（刷新存储器VRAM容量计算）/打印机,了解,VRAM容量=分辨率×色深,偶考计算
408,操作系统,进程与线程,调度,上下文切换的概念与开销,理解,切换时保存/恢复的内容,2022新增
408,操作系统,文件管理,存储管理,磁盘上的文件物理块与逻辑块映射；混合索引综合计算,掌握,UNIX inode 13个地址项经典题,高频大题
408,计算机网络,网络层,IPv4,IP数据报首部校验和的计算范围（仅首部）,了解,,
408,计算机网络,应用层,WWW,Web缓存/代理服务器；条件GET,了解,,偶考
